Project ID,Entry #,Project URL,Habitat type,Restoration Technique or methods,Country,Location,For geocoding,Latitude,Longitude,Project Work Start,Species,Full reference,Source Type,Publication URL
SG01,SG01,https://doi.org/10.1016/j.ecss.2008.04.012,Seagrass,‘Bare-root’ transplant,Australia,"Oyster Harbour, Western Australia","Oyster Harbour, Western Australia, Australia",-34.99720072,117.9494224,1994,Posidonia australis,"Bastyan GR, Cambridge ML (2008) Transplantation as a method for restoring the seagrass Posidonia australis. Estuar Coast Shelf Sci 79:289-299",Journal Article,https://doi.org/10.1016/j.ecss.2008.04.012
SG02,SG02_1,https://doi.org/10.1016/j.ecss.2008.04.012,Seagrass,‘Bare-root’ transplant,Australia,"Oyster Harbour, Western Australia","Oyster Harbour, Western Australia, Australia",-34.99720072,117.9494224,1997,Posidonia australis,"Bastyan GR, Cambridge ML (2008) Transplantation as a method for restoring the seagrass Posidonia australis. Estuar Coast Shelf Sci 79:289-301",Journal Article,https://doi.org/10.1016/j.ecss.2008.04.012
SG02,SG02_2,https://doi.org/10.1016/j.ecss.2008.04.012,Seagrass,‘Bare-root’ transplant,Australia,"Oyster Harbour, Western Australia","Oyster Harbour, Western Australia, Australia",-34.99720072,117.9494224,1997,Posidonia australis,"Bastyan GR, Cambridge ML (2008) Transplantation as a method for restoring the seagrass Posidonia australis. Estuar Coast Shelf Sci 79:289-302",Journal Article,https://doi.org/10.1016/j.ecss.2008.04.012
SG02,SG02_3,https://doi.org/10.1016/j.ecss.2008.04.012,Seagrass,‘Bare-root’ transplant,Australia,"Princess Royal Harbour, Western Australia","Princess Royal Harbour, Western Australia, Australia",-35.04950736,117.8879515,1997,Posidonia australis,"Bastyan GR, Cambridge ML (2008) Transplantation as a method for restoring the seagrass Posidonia australis. Estuar Coast Shelf Sci 79:289-303",Journal Article,https://doi.org/10.1016/j.ecss.2008.04.012
SG03,SG03,https://pir.sa.gov.au/__data/assets/pdf_file/0006/231675/No_275_Seagrass_Rehabilitation_in_Adelaide_V._Large_Scale_Recruitment_Report_Final3.pdf,Seagrass,Hessian bags as stable subtrate,Australia,Adelaide,"Adelaide, Australia",-34.9284989,138.6007456,2006,Amphibolis antarctica,"Collings G (2008) Seagrass rehabilitation in Adelaide Metropolitan Coastal Waters V. Large scale recruitment trial. Prepared for the Coastal Management Branch, Department for Environment and Heritage. SARDI Aquatic Sciences Publication No. F2008/000077. SARDI Research Report Series No.275. March 2008.",Report,https://pir.sa.gov.au/__data/assets/pdf_file/0006/231675/No_275_Seagrass_Rehabilitation_in_Adelaide_V._Large_Scale_Recruitment_Report_Final3.pdf
SG04,SG04,https://www.pir.sa.gov.au/__data/assets/pdf_file/0003/231609/No_211_Seagrass_rehabilitation_in_Adel_Metro_IV_Geographic_and_Interannual.pdf,Seagrass,Hessian bags as stable subtrate,Australia,Adelaide,"Adelaide, Australia",-34.9284989,138.6007456,2005,Amphibolis antarctica,"Collings G, Venema S, Wear R, Tanner J (2007) Seagrass rehabilitation in Adelaide Metropolitan Waters IV. Geographic & interannual variability of recruitment facilitation. SARDI Research Report Series No. 211",Report,https://www.pir.sa.gov.au/__data/assets/pdf_file/0003/231609/No_211_Seagrass_rehabilitation_in_Adel_Metro_IV_Geographic_and_Interannual.pdf
SG05,SG05,https://www.dpi.nsw.gov.au/content/research/areas/aquatic-ecosystems/outputs/2008/966,Seagrass,‘Bare-root’ transplant,Australia,"Port Hacking, New South Wales","Port Hacking, New South Wales, Australia",-34.069,151.1227,1999,Posidonia australis,"Ganassin C, Gibbs P (2008) A review of seagrass planting as a means of habitat compensation following loss of seagrass meadow. In: NSW Department of Primary Industries - Fisheries Final Report Series No. 96. NSW Department of Primary Industries, Cronulla Fisheries Research Centre of Excellence, Cronulla, Australia, p 43",Report,https://www.dpi.nsw.gov.au/content/research/areas/aquatic-ecosystems/outputs/2008/966
SG06,SG06,https://www.dpi.nsw.gov.au/content/research/areas/aquatic-ecosystems/outputs/2008/966,Seagrass,‘Sediment intact’ transplant,Australia,"Narooma, New South Wales","Narooma, New South Wales, Australia",-36.2419463,150.1081935,2001,Posidonia australis,"Ganassin C, Gibbs P (2008) A review of seagrass planting as a means of habitat compensation following loss of seagrass meadow. In: NSW Department of Primary Industries - Fisheries Final Report Series No. 96. NSW Department of Primary Industries, Cronulla Fisheries Research Centre of Excellence, Cronulla, Australia, p 43",Report,https://www.dpi.nsw.gov.au/content/research/areas/aquatic-ecosystems/outputs/2008/966
SG07,SG07,https://www.dpi.nsw.gov.au/content/research/areas/aquatic-ecosystems/outputs/2008/966,Seagrass,‘Bare-root’ transplant,Australia,"St. Georges Basin, New South Wales","St. Georges Basin, New South Wales, Australia",-35.0843898,150.5917532,1999,Posidonia australis,"Ganassin C, Gibbs P (2008) A review of seagrass planting as a means of habitat compensation following loss of seagrass meadow. In: NSW Department of Primary Industries - Fisheries Final Report Series No. 96. NSW Department of Primary Industries, Cronulla Fisheries Research Centre of Excellence, Cronulla, Australia, p 43",Report,https://www.dpi.nsw.gov.au/content/research/areas/aquatic-ecosystems/outputs/2008/966
SG08,SG08,https://www.dpi.nsw.gov.au/content/research/areas/aquatic-ecosystems/outputs/2008/966,Seagrass,‘Sediment intact’ transplant,Australia,"Tuggerah Lakes, New South Wales","Tuggerah Lakes, New South Wales, Australia",-33.2953854,151.5019256,2000,Zostera capricorni,"Ganassin C, Gibbs P (2008) A review of seagrass planting as a means of habitat compensation following loss of seagrass meadow. In: NSW Department of Primary Industries - Fisheries Final Report Series No. 96. NSW Department of Primary Industries, Cronulla Fisheries Research Centre of Excellence, Cronulla, Australia, p 43",Report,https://www.dpi.nsw.gov.au/content/research/areas/aquatic-ecosystems/outputs/2008/966
